actual,predicted
80.0,50.94482
73.33,62.926487
26.67,43.278122
86.67,71.49353
40.0,46.263695
60.0,49.93547
93.33,73.096306
66.67,58.633614
53.33,44.281445
53.33,32.888096
100.0,70.52268
46.67,41.735123
33.33,31.779795
26.67,49.083103
66.67,36.354183
33.33,28.710499
73.33,61.357407
80.0,49.3507
60.0,60.143547
80.0,49.4896
53.33,46.126343
46.67,41.611397
46.67,42.70026
33.33,59.95803
33.33,31.38807
0.0,31.852627
53.33,45.623905
73.33,67.71427
20.0,48.206173
66.67,36.78236
73.33,40.77625
40.0,61.07501
40.0,40.103302
53.33,48.29226
86.67,82.10251
33.33,46.24675
60.0,45.972595
46.67,51.644028
20.0,42.159504
0.0,31.67981
33.33,46.780952
66.67,62.88165
80.0,55.38913
73.33,47.965347
20.0,47.67642
60.0,52.953194
26.67,50.469044
60.0,62.454998
73.33,56.442898
40.0,52.295517
20.0,44.001175
46.67,37.292107
66.67,54.276386
60.0,31.104635
73.33,43.485153
73.33,58.91265
93.33,67.34275
60.0,65.85084
20.0,42.643974
26.67,48.421284
60.0,68.67289
33.33,31.22198
53.33,45.963974
33.33,39.564545
73.33,-157.94778
40.0,45.993984
86.67,52.312668
53.33,44.103745
80.0,78.037865
40.0,47.117134
53.33,48.751007
33.33,50.485134
40.0,61.170353
80.0,46.65329
73.33,42.14393
100.0,52.90461
40.0,66.84079
40.0,39.07605
80.0,58.82077
33.33,36.430725
6.67,33.95975
6.67,36.98329
46.67,38.65689
73.33,68.479576
46.67,75.21211
73.33,66.040016
53.33,77.547005
60.0,79.54975
46.67,40.71195
100.0,73.46566
33.33,44.260235
40.0,39.042862
100.0,72.52002
20.0,46.40074
46.67,38.17324
53.33,49.09214
40.0,56.649834
73.33,52.4325
66.67,65.263466
46.67,72.996475
33.33,54.84694
60.0,58.397263
33.33,30.535767
53.33,36.80909
66.67,64.71063
53.33,42.90798
53.33,45.313675
33.33,40.612736
13.33,41.709366
53.33,44.659615
66.67,47.450806
33.33,52.299694
33.33,33.23401
80.0,52.97203
100.0,81.006996
66.67,84.31663
26.67,32.443035
40.0,45.691772
66.67,53.478413
60.0,86.4133
40.0,36.087845
86.67,54.981293
86.67,70.89474
33.33,31.5154
33.33,37.253494
93.33,72.276306
73.33,46.46003
33.33,48.312965
40.0,57.238873
73.33,62.762054
66.67,44.504715
33.33,52.35704
46.67,39.575813
66.67,50.317474
40.0,64.75501
26.67,35.800816
66.67,84.41429
6.67,34.91954
46.67,40.88992
73.33,64.31155
46.67,49.555336
40.0,53.292477
53.33,42.421318
33.33,40.375523
40.0,66.646
13.33,38.80294
40.0,64.92303
73.33,58.658424
60.0,55.528214
40.0,45.054527
53.33,46.028305
20.0,42.560783
6.67,33.79333
53.33,30.377253
66.67,61.28072
60.0,47.704845
86.67,56.073666
26.67,59.089577
33.33,53.490097
6.67,37.238518
73.33,63.151047
93.33,79.94354
73.33,54.261726
13.33,38.58018
80.0,67.54864
40.0,38.449753
53.33,44.96985
20.0,49.91837
46.67,70.50446
86.67,40.243565
33.33,58.704784
100.0,74.98902
66.67,60.172813
73.33,49.335434
0.0,29.996662
26.67,47.951916
53.33,58.10133
60.0,67.87391
53.33,47.3356
53.33,49.01841
73.33,48.944733
46.67,62.53223
60.0,38.13384
60.0,64.22161
60.0,35.455986
33.33,41.415306
46.67,62.983612
53.33,45.02585
33.33,32.793373
46.67,38.86214
80.0,75.79856
60.0,54.560577
66.67,52.69606
53.33,45.31622
13.33,39.90655
66.67,66.39001
73.33,46.858063
53.33,43.668736
60.0,53.93802
100.0,64.59268
46.67,39.253704
33.33,34.29067
40.0,57.128784
26.67,35.960526
66.67,72.2387
80.0,45.36561
13.33,41.491127
33.33,65.8048
53.33,46.75686
20.0,30.070114
66.67,66.55126
33.33,39.134453
60.0,38.056187
0.0,29.863632
20.0,46.742577
73.33,40.88406
46.67,39.27329
33.33,32.148533
46.67,48.669056
46.67,46.559776
60.0,51.37867
40.0,67.29745
46.67,53.27516
40.0,37.196568
13.33,41.442474
73.33,60.33953
33.33,52.206726
40.0,50.07798
20.0,41.228977
66.67,49.956734
46.67,56.2432
66.67,66.43001
13.33,42.059097
53.33,29.660513
100.0,82.42968
93.33,50.67629
6.67,36.52804
66.67,68.67546
73.33,46.871468
53.33,38.04552
80.0,53.440826
86.67,57.55517
53.33,45.26558
80.0,57.103954
86.67,13.698738
60.0,72.025734
66.67,76.13009
93.33,59.748928
20.0,44.923607
93.33,63.336143
53.33,66.08683
80.0,36.343796
20.0,46.99176
0.0,33.94922
73.33,67.16662
60.0,71.95648
0.0,33.833527
93.33,72.716774
73.33,67.45607
0.0,32.45774
100.0,52.50187
26.67,35.41191
46.67,38.446877
6.67,36.743233
26.67,43.552162
40.0,38.812325
86.67,49.49556
66.67,56.28134
26.67,50.56196
33.33,42.322765
20.0,43.597916
40.0,44.854416
73.33,64.717476
46.67,60.43463
66.67,51.0534
66.67,43.10058
73.33,66.29001
66.67,50.504284
33.33,32.078632
26.67,38.90034
33.33,65.33731
73.33,45.406864
100.0,70.72048
6.67,37.546974
66.67,74.869965
53.33,38.140293
100.0,96.804375
6.67,38.880676
53.33,38.67477
20.0,44.559334
60.0,34.835403
80.0,39.1221
53.33,42.30564
46.67,73.39828
40.0,63.208866
60.0,62.614487
26.67,36.623146
33.33,59.15486
33.33,48.014763
100.0,62.564243
66.67,151.68001
73.33,67.00874
46.67,39.89561
46.67,53.823456
60.0,45.163445
33.33,53.952595
53.33,47.57756
100.0,78.73814
73.33,40.147392
26.67,43.88025
100.0,72.53603
40.0,52.324844
80.0,43.61821
40.0,51.73944
26.67,41.351135
80.0,43.898888
53.33,65.261086
73.33,52.34312
80.0,59.32543
60.0,76.630806
46.67,46.329273
60.0,43.643612
53.33,44.413082
60.0,58.02981
60.0,34.248154
66.67,53.02419
33.33,32.9901
46.67,57.711365
0.0,29.624315
40.0,37.487
33.33,30.351524
46.67,53.781204
80.0,78.528984
40.0,39.322453
33.33,31.26065
60.0,32.003746
53.33,41.987144
73.33,51.053963
33.33,36.254158
46.67,39.69153
40.0,65.86516
26.67,36.889343
100.0,63.12547
33.33,30.635258
73.33,38.99944
60.0,59.261078
80.0,52.60269
26.67,32.996643
40.0,37.923367
46.67,38.738388
80.0,42.105812
66.67,51.656548
60.0,45.677208
86.67,69.92988
33.33,45.941597
40.0,52.365746
93.33,63.794235
46.67,60.9871
33.33,33.368526
26.67,42.762356
60.0,55.07315
73.33,46.42961
73.33,40.504223
40.0,55.67055
6.67,38.163303
33.33,31.354687
73.33,62.906647
66.67,71.26219
53.33,47.03083
80.0,53.047592
33.33,39.55178
26.67,34.139523
20.0,37.787357
26.67,42.10453
40.0,65.28097
66.67,65.07429
93.33,68.68211
53.33,44.67549
40.0,35.63772
53.33,44.89605
66.67,38.518894
80.0,55.270187
53.33,33.230682
66.67,53.33252
66.67,78.38966
86.67,43.291782
53.33,31.572641
40.0,67.44995
46.67,52.921883
53.33,63.778103
46.67,55.23201
46.67,41.379288
33.33,32.06327
86.67,502.3145
60.0,52.434906
53.33,45.82583
6.67,36.816486
66.67,66.684525
0.0,32.358894
40.0,59.31764
53.33,52.230316
26.67,45.13913
46.67,49.75634
26.67,51.28088
60.0,57.340027
60.0,55.6928
80.0,65.07943
66.67,66.63331
86.67,47.77004
93.33,59.43589
53.33,48.153366
60.0,41.12906
13.33,41.915825
40.0,61.902264
66.67,41.23426
46.67,54.42006
80.0,54.293106
93.33,79.85029
46.67,74.99691
46.67,42.22423
46.67,67.04382
66.67,61.664375
26.67,54.497093
40.0,62.403725
13.33,41.117172
40.0,39.40531
60.0,31.03072
53.33,38.707928
6.67,36.28711
26.67,48.41561
20.0,46.56699
20.0,50.759743
53.33,42.744568
40.0,64.72849
80.0,59.498848
66.67,45.10528
40.0,44.932648
26.67,44.549835
46.67,39.807228
33.33,30.593483
60.0,36.239944
26.67,43.555122
33.33,28.13588
33.33,38.170418
60.0,35.747322
66.67,56.37776
66.67,66.9514
53.33,37.412525
